username,filename,Taylors FileName,title,hashtag,category,is_featured,total_rank_number
TylerWilliams,Demo_TylerWilliams_GetOutChallenge.mov,Get Out Challenge.mov,,GetOut Challenge,Latest Trend,YES,59
TylerWilliams,Demo_TylerWilliams_MannequinChallenge.mp4,Mannequin Challenge.mp4,,Mannequin Challenge,Latest Trend,NO,100
TylerWilliams,Demo_TylerWilliams_MannequinChallenge1.mp4,MannequinChallenge1.mp4,,Mannequin Challenge,Latest Trend,NO,75
TylerWilliams,Demo_TylerWilliams_BacktoSchoolProblems.mp4,Back to School Problems.mp4,,Magic,Magic,YES,25
TylerWilliams,Demo_TylerWilliams_DavidBlaine-FrogTrick1-magic.mp4,David Blaine - Frog Trick 1 - magic.mp4,,"Magic, David Blaine",Magic,NO,150
TylerWilliams,Demo_TylerWilliams_DavidBlaine-FrogTrick2-magic.mp4,David Blaine - Frog Trick 2 - magic.mp4,,"Magic, David Blaine",Magic,NO,670
TylerWilliams,Demo_TylerWilliams_GettingawaywithSchoolPrank.mp4,Getting away with School Prank.mp4,,Magic,Magic,NO,278
TylerWilliams,Demo_TylerWilliams_HowtoCleanYourRoom.mp4,How to Clean Your Room.mp4,,Magic,Magic,NO,245
TylerWilliams,Demo_TylerWilliams_JailEscape.mp4,Jail Escape.mp4,,Magic,Magic,NO,168
TylerWilliams,Demo_TylerWilliams_LaunchingintoMySecretPool.mp4,Launching into My Secret Pool.mp4,,Magic,Magic,NO,99
TylerWilliams,Demo_TylerWilliams_magic.mp4,magic.mp4,,Magic,Magic,NO,85
TylerWilliams,Demo_TylerWilliams_SmashingYourFoodforDessert.mp4,Smashing Your Food for Dessert.mp4,,Magic,Magic,YES,70
TylerWilliams,Demo_TylerWilliams_TrainJumpinginHongKong.mp4,Train Jumping in Hong Kong.mp4,,Magic,Magic,NO,25
TylerWilliams,Demo_TylerWilliams_BestSkateboardTrick8.mp4,BestSkateboardTrick8.mp4,,Skateboard,Action Sports,NO,28
TylerWilliams,Demo_TylerWilliams_BestSkateboardTrick9.mp4,BestSkateboardTrick9.mp4,,Skateboard,Action Sports,NO,30
